VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
SentinelOne,2026-07-01,SYSTECHNY,1,866.0,623.52,623.52,y techny
ESET,2026-01-01,SysTechNY,1,21700.0,620.574472,620.574472,y techny
Auvik,2026-01-01,CSI,2,59.0,619.5,619.5,c i
Bitdefender,2026-05-01,Medic Cloud,2,530.0,616.698,616.698,medic cloud
Acronis,2026-06-01,"Superior Steel, Inc",2,35316.92,615.915116,615.915116,uperior  teel inc
Acronis,2026-03-01,The Connected Office,6,8879.98,615.7919169999999,615.7919169999999,the connected office
Acronis,2026-05-01,"Superior Steel, Inc",2,35100.63,612.714024,612.714024,uperior  teel inc
Bitdefender,2026-04-01,Medic Cloud,2,528.0,612.5586999999999,612.5586999999999,medic cloud
Acronis,2026-06-01,The Connected Office,6,8687.65,611.8823930000001,611.8823930000001,the connected office
Bitdefender,2026-02-01,Medic Cloud,2,533.0,608.0458000000001,608.0458000000001,medic cloud
SentinelOne,2026-05-01,PARROINFODEVELOPPEMENT,3,1023.0,606.98,606.98,parroinfodeveloppement
Bitdefender,2026-06-01,Medic Cloud,2,533.0,605.7226,605.7226,medic cloud
Acronis,2026-05-01,The Connected Office,6,8605.98,603.800873,603.800873,the connected office
Bitdefender,2026-04-01,Tech Stream Solutions,2,444.0,603.4905,603.4905,tech  tream  olution
Bitdefender,2026-04-01,Red Mosquito Ltd,4,1023.0,601.4787,601.4787,red mo quito ltd
Proofpoint,2026-04-01,Lifeline Technology Solutions,17,534.0,601.01,601.01,lifeline technology  olution
Bitdefender,2026-03-01,Red Mosquito Ltd,4,1036.0,597.4433,597.4433,red mo quito ltd
Proofpoint,2026-01-01,WPG Consulting,4,451.0,594.77,594.77,wpg con ulting
Acronis,2026-01-01,The Connected Office,6,8501.66,593.653821,593.653821,the connected office
Exium,2026-03-01,ConnectWise Demo,2,25.0,590.0,590.0,connectwi e demo
Exium,2026-07-01,ConnectWise Demo,2,25.0,590.0,590.0,connectwi e demo
Acronis,2026-07-01,Nuvex Solutions,5,19727.47,586.6591559999999,586.6591559999999,nuvex  olution
Bitdefender,2026-03-01,Medic Cloud,2,522.0,585.8374,585.8374,medic cloud
Exium,2026-05-01,ConnectWise Demo,2,24.0,581.25,581.25,connectwi e demo
Exium,2026-04-01,ConnectWise Demo,2,24.0,581.25,581.25,connectwi e demo
Exium,2026-06-01,ConnectWise Demo,2,24.0,581.25,581.25,connectwi e demo
Proofpoint,2026-03-01,Lifeline Technology Solutions,16,517.0,579.8100000000001,579.8100000000001,lifeline technology  olution
Webroot,2026-06-01,IDT Support,1,1034.0,579.04,579.04,idt  upport
Webroot,2026-07-01,IDT Support,1,1034.0,579.04,579.04,idt  upport
Acronis,2026-01-01,Balliante Ltd,9,5297.9,576.41152,576.41152,balliante ltd
Acronis,2026-06-01,Nuvex Solutions,5,18799.8,576.30804,576.30804,nuvex  olution
Acronis,2026-07-01,Educational Records Bureau,1,10567.07,575.905315,575.905315,educational record  bureau
Webroot,2026-03-01,Providence Technology Group,1,1103.0,573.56,573.56,providence technology group
ESET,2026-05-01,Rigidnet LLC,2,29140.0,573.2322630000001,573.2322630000001,rigidnet llc
Webroot,2026-02-01,Providence Technology Group,1,1101.0,572.52,572.52,providence technology group
Exium,2026-01-01,ConnectWise Demo,2,23.0,572.5,572.5,connectwi e demo
Exium,2026-02-01,ConnectWise Demo,2,23.0,572.5,572.5,connectwi e demo
Acronis,2026-06-01,Educational Records Bureau,1,10493.64,571.90338,571.90338,educational record  bureau
ESET,2026-02-01,Rigidnet LLC,2,26320.0,570.728089,570.728089,rigidnet llc
Bitdefender,2026-01-01,Medic Cloud,2,503.0,568.0296999999999,568.0296999999999,medic cloud
