VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
SentinelOne,Singularity Identity,S1ES-IDE-EN-T2-SA,SWO-EG-CYBR-SOLP-SAAS-IDETRESP,SINGULARITY_IDENTITY,SwO EG,0.95,
SentinelOne,Singularity Identity,S1ES-IDE-EN-T2-SA,CMS-S1-CYBR-SOLP-SAAS-IDDETRESP,SINGULARITY_IDENTITY,CMS,0.95,1.25
KeepIT,KEEPIT_CW_ONLY_ADHOC_CHARGE,UNCONFIRMED_VENDOR_SKU,CU-OTHERCORP900902RS,KEEPIT_CW_ONLY_ADHOC_CHARGE,Adhoc billing charge; no matching vendor usage SKU expected,,
KeepIT,KEEPIT_CW_ONLY_AZURE_DEVOPS,UNCONFIRMED_VENDOR_SKU,CMS-UMM-SAAS-KPIT-BDR-3PDEVOPS,KEEPIT_CW_ONLY_AZURE_DEVOPS,CW bills Azure DevOps backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_ONBOARDING,UNCONFIRMED_VENDOR_SKU,RCCONSULTSAASONBOARD,KEEPIT_CW_ONLY_ONBOARDING,Onboarding billing charge; no matching vendor usage SKU expected,,
KeepIT,KEEPIT_CW_ONLY_POWER_BI,UNCONFIRMED_VENDOR_SKU,BC-3Y-PROMO-POWER-BI,KEEPIT_CW_ONLY_POWER_BI,CW bills Power BI backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_POWER_BI,UNCONFIRMED_VENDOR_SKU,CMS-UMM-SAAS-KPIT-BDR-3PBIRMM,KEEPIT_CW_ONLY_POWER_BI,CW bills Power BI backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_POWER_BI,UNCONFIRMED_VENDOR_SKU,CMS-UMM-SAAS-KPIT-BDR-3PWBISA,KEEPIT_CW_ONLY_POWER_BI,CW bills Power BI backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_POWER_BI,UNCONFIRMED_VENDOR_SKU,M2M-UMM-SAAS-KPIT-BDR-3PBIRMM,KEEPIT_CW_ONLY_POWER_BI,CW bills Power BI backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_POWER_BI,UNCONFIRMED_VENDOR_SKU,M2M-UMM-SAAS-KPIT-BDR-3PWBISA,KEEPIT_CW_ONLY_POWER_BI,CW bills Power BI backup; no matching vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_PROMO_BUNDLE,UNCONFIRMED_VENDOR_SKU,BB-3Y-PROMO-BUNDLE,KEEPIT_CW_ONLY_PROMO_BUNDLE,Catalog bundle SKU; Zuora charge-level rows map components where available,,
KeepIT,KEEPIT_CW_ONLY_PROMO_SHORTAGE,UNCONFIRMED_VENDOR_SKU,BC-3Y-PROMO-SHORTAGE,KEEPIT_CW_ONLY_PROMO_SHORTAGE,Shortage SKU is a billing adjustment and should not be forced to vendor usage,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CMS-3P-UMM-BCDR-SAAS-UNLIMTRT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CMS-EG-BDR-SOLP-SAAS-SB-UNLTD,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CU-LIC-SAAS200313MDS,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CULCSAS200310OFFICEP,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CULCSAS200311GSUITP,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CULCSAS200312SALESFP,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CW-3YPROMO-RETENTION,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CW-RMM-SB-UNLTD,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CWP-3P-UMM-BCDR-SAAS-UNLIMTRT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,CW_3YPROMO_RETENTION,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,M2M-RMM-SB-UNLTD,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,SWO-EG-UMM-BCDR-SAAS-UNLIMTRT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,SWO-EG-UMM-SOLP-SAAS-UNLTDRET,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,UNCONFIRMED_VENDOR_SKU,SwO-3P-UMM-SOLP-SAAS-UNLTDRET,KEEPIT_CW_ONLY_UNLIMITED_RETENTION,CW retention charge; no separate vendor usage SKU observed in current KeepIT summaries,,
KeepIT,KEEPIT_POST_PROMO_USAGE,KEEPIT_POST_PROMO_USAGE,,KEEPIT_POST_PROMO_USAGE,Post-promo takeout blended partner amount; no SKU allocation in vendor file,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,BB-3Y-PROMO-BUNDLE,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,BC-3Y-PROMO-AZURE-AD,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,CMS-3P-UMM-BCDR-SAAS-AZUREADA,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,CMS-EG-BDR-SOLP-SAAS-SB-AZADV,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,CU-AZURE-AD-ADV-USER,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,CW-RMM-SB-AZ-ADV,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,CWP-3P-UMM-BCDR-SAAS-AZUREADA,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,M2M-RMM-SB-AZ-ADV,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,SWO-EG-UMM-SOLP-SAAS-AZADUSRS,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,SwO-3P-UMM-SOLP-SAAS-AZADUSRS,KI-AZUR-CSP,Azure AD / Entra ID Advanced user backup,,
KeepIT,KI-AZUR-CSP,KI-AZUR-CSP,,KI-AZUR-CSP,Entra ID / Azure AD Advanced backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,BB-3Y-PROMO-BUNDLE,KI-D365-FUL,Dynamics 365 user backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,BC-3Y-PROMO-DYNAMICS,KI-D365-FUL,Dynamics 365 user backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,CMS-3P-UMM-BCDR-SAAS-DYNAMICS,KI-D365-FUL,Dynamics 365 user backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,CU-LIC-SAAS200313MDS,KI-D365-FUL,Dynamics 365 user backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,CW-RMM-SB-DYNMCS,KI-D365-FUL,Dynamics 365 user backup,,
KeepIT,KI-D365-FUL,KI-D365-FUL,CWP-3P-UMM-BCDR-SAAS-DYNAMICS,KI-D365-FUL,Dynamics 365 user backup,,
