PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Stratus Technology Solutions,,ACT-00181469,,StratusPointIT
Streets,,ACT-00112702,,Streets
Strikeworks Solutions,,ACT-00202672,,StrikeWorks Solutions
Structured,,ACT-00136094,,"Structured Communication Systems, Inc."
subIT,,ACT-00027755,14880,"BizTek, LLC dba subIT Co"
Summit 7 Systems,,ACT-00193142,,Summit 7 Systems
Summit Design and Engineering,,ACT-00082434,,Summit Design and Engineering
Sunrise Services LLC,,ACT-00143997,,sunrise
Sunriver IT Partners,,ACT-00107940,11191,Sun River It Partners
Superior Networks,,ACT-00187202,23755,Superior Networks
Support Tree,,ACT-00090722,15024,Support Tree
Supra Canada,,ACT-00108150,,supra
SWATware LLC,,ACT-00034055,,SwatWare
Swift Chip,,ACT-00148060,,"Swift Chip, Inc."
Swift IT Computer Services Ltd,,ACT-00158943,,Swift IT
Swift Pacific Management Ltd,,ACT-00025647,,Yellowknives Dene First Nation
Symmetry-IT,,ACT-00058245,15493,Symmetry-IT
Symtec,,ACT-00046103,22947,SymTec
Symtec Computers LLC,,ACT-00174673,11610,Sym-tec
Synagex,,ACT-00070078,,Synagex
Synapse UK Limited,,ACT-00229359,,Synapse IT Consultants
Synergies Technology LLC,,ACT-00058519,15693,Synergies Technology LLC
SynergizeNOW,,ACT-00098386,18797,SynergizeNOW
Synergy Technical,,ACT-00170441,13056,Synergy Technical LLC
Sysgen Solutions Group,,ACT-00206347,,Sysgen Solutions Group
System Clockworks,,ACT-00192572,23407,Clockworks Management LLC
System Protection Partners,,ACT-00063055,3838,System Protection Partners
System Status,,ACT-00107780,9947,System Status Inc
"System Support Associates, LLC",,ACT-00286159,24970,System Support Associates
Systemhouse Inc,,ACT-00208279,4791,Systemhouse Inc
Systems IT Support & Consultancy Ltd t/a SystemsIT,,ACT-00018795,,Systems IT Support & Consultancy Limited
Systemsdoctor LLC,,ACT-00040520,3592,System Doctor Inc. DBA Systemsdoctor
T3 Networks,,ACT-00006638,,T3 Networks
TampaTeks,,ACT-00225137,13416,TampaTeks
TBXI (Thunder Bay Xerographix Inc.),,ACT-00170633,23197,TBXI
TCI Voice and Data Networks,,ACT-00068455,18423,TCI Voice and Data Networks
TeamLogic IT Harrisburg,,ACT-00178339,15776,Technology Investments Group Inc
Tech Assurance,,ACT-00066062,11896,Cartridge on Wheels / Tech Assurance
Tech Group FL,,ACT-00113792,,tg01
Tech Horizons LLC,,ACT-00153056,10384,Tech Horizons LLC
"Tech Michigan, LLC",,ACT-00226194,,Tech Team
Tech Rage IT,,ACT-00245372,,"Intersection Technology Solutions, LLC"
Tech Solutions,,ACT-00198823,,Tech Hero
Tech Stream Solutions,,ACT-00243834,,Tech Stream Solutions
"Tech Works Us, LLC",,ACT-00198823,,Tech Hero
Tech-Alert INC,,ACT-00037692,,Tech-Alert
TechCentre Limited,,ACT-00222076,,TechCentre Ltd
Techintel,,ACT-00120917,,Techintel
Technical Action Group,Ingram Micro Canada,ACT-00239583,,"Technical Action Group, Inc"
Technical Drive,,ACT-00243291,,Technical Drive
Technical Sales - APAC,,ACT-00186954,,Technical Software Services
Technical Sales APAC rmm,,ACT-00186954,,Technical Software Services
Technical Sales Demo - North America,,ACT-00186954,,Technical Software Services
Technical Service and Solutions LLC,,ACT-00186954,,Technical Software Services
Technical Software Services,,ACT-00186954,2687,Technical Software Services
Technicity LLC,,ACT-00179963,,"Technicity, Inc."
Technology Advisors,,ACT-00009232,17631,Mass Tech Advisors LLC
Technology Engineers,,ACT-00049406,3375,Technology Engineers & Architects
Technology Means Business Ltd,,ACT-00186208,17486,Technology Means Business
Technology Professionals LLC,TD Synnex Corp,ACT-00246847,,Technology Professionals LLC
Technology Services Wholesale Group LLC,,ACT-00246793,,"Technology Assets, Llc"
Technology Sol NM LLC dba Asset Technology,,ACT-00195541,,Asset
Technology Solutions LLC,,ACT-00192485,9198,Technology Solutions LLC
Technology Support Services Incorporated (TSSI),,ACT-00246793,,"Technology Assets, Llc"
Technos Solutions Limited,,ACT-00154991,16524,Technos Solutions Limited
Technowand,,ACT-00178307,6602,Technowand
Technuf LLC,,ACT-00290738,26790,"Technuf, LLC"
Techordia,,ACT-00008308,23275,Techordia LLC
TechPromise LLC,CMIT Headquarters,ACT-00240767,3914,CMIT Solutions of Newport Beach
Techs In Suits,,ACT-00241006,673,Techs In Suits
Techs On Call LLC,,ACT-00125847,17024,Techs On Call LLC
Techs To Go LLC,,ACT-00041095,1944,Techs To Go NJ
Techton Consulting,,ACT-00264694,,Techton Consulting LLC
Techxcellent,,ACT-00046251,,Techxcellent
Tecoda Pty Ltd,,ACT-00050722,,Tecoda Pty Ltd
TEConsult,,ACT-00107779,7854,TEConsult
TekMyBiz,,ACT-00130256,,TekMyBiz
Teknabyte Consulting,,ACT-00158923,,Teknabyte Consulting
Teks4 You Inc,,ACT-00134332,16231,Teks 4 You Inc
Tele-Plus Corporation,,ACT-00198458,5388,Tele-Plus Corp
Teleco Cloud Services,,ACT-00243703,16124,Teleco Cloud Services
Telecom Solutions Inc,,ACT-00223033,14797,Telecom Solutions Inc
"Telecomp, Inc.",,ACT-00171504,17327,"TeleComp, Inc."
Telesys Communications  Inc,,ACT-00199661,,Telesys Communications Inc
Telesys Communications Inc,,ACT-00199661,8058,Telesys Communications Inc
Temple & Associates,,ACT-00191908,,Temple & Associates
Temple Shalom c/o Eos Systems Inc.,,ACT-00243957,8529,Eos Systems
Temple Technologies,,ACT-00227503,,Temple Technologies
Terminal B LLC,,ACT-00156536,,termb
Terminal Exchange Systems,,ACT-00239574,15541,Bulletproof Solutions Inc.
"Teufel Holly Farms, Inc",,ACT-00408185,,"Teufel Holly Farms, Inc"
Texas Computerman,,ACT-00186941,1481,Texas Computerman
Texas Professional IT Services LLC,,ACT-00030433,,Texas Professional IT Services LLC
Texvo,,ACT-00158478,21065,Texvo
TGI Office Automation,,ACT-00092044,15880,TGI Office Automation
The Boss Group Pty Ltd,Ingram Micro Australia,ACT-00246210,,The Boss Group Pty Ltd
The Cloud Platform,,ACT-00208415,,The Cloud Platform
The CMS Companies,"Harmonity Technologies, LLC",ACT-00239704,,The CMS Companies
"The Computer Hut, LLC",,ACT-00024375,,Pinnacle IT
The Computer Shop Laredo,,ACT-00287014,25180,The Computer Shop Laredo
The Cornerstone Professional Group LLC,,ACT-00218008,2841,The Cornerstone Professional Group
The Data Pros,,ACT-00180615,1353,The Data Pros Dot Net
The Final Step Ltd,,ACT-00011952,,tfs
The Foundri,,ACT-00035361,7566,The Foundri
The Great Bay Group,,ACT-00060790,14446,Local Link Internet LLC
The Greentree Group,,ACT-00102749,,The Greentree Group
The IT Source,,ACT-00143747,9527,The IT Source
"The KR Group, Inc.",,ACT-00052940,,"The KR Group, Inc."
"The Lab, Information Service, Inc.",,ACT-00224731,11079,The Lab Information Services
The Mirazon Group LLC,,ACT-00223581,,Mirazon
The Network Pro,,ACT-00131547,,tnp
"The New England Computer Group, Inc.",,ACT-00087038,,NECG
The Phone Experts Communications,,ACT-00233768,27025,"The Phone Experts Communications, Ltd."
The Providers,,ACT-00153076,8676,The Providers
The Resource,,ACT-00197149,11775,The Resource
The Ripe Group,,ACT-00246261,,Ripe Group
The Ritter Group,,ACT-00223500,15393,Lonestar Technology Services dba The Ritter Group
The Solutions Company,,ACT-00199589,,solco
THE STRICKLAND GROUP INC,,ACT-00126416,318,The Strickland Group Inc
