VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,System Go,,ACT-00069994,22700,
Acronis,Extech Ltd (1010936),,ACT-00095923,500000207,
Acronis,RealPage,,ACT-00137227,22691,
Acronis,Forward Tech Solutions,,ACT-00008893,,
Acronis,ROCC Computers Ltd,,ACT-00039411,500000508,
Acronis,"Rapid Domains, Inc. OLD",,ACT-00196486,24768,
Acronis,CenTex Technologies,,ACT-00020861,23856,
Acronis,Adfranse Automatisering B V,,ACT-00259372,500000596,
Acronis,Professional Technology Solutions,,ACT-00214616,,Professional Computer Support
Acronis,Semsoft,,ACT-00286185,25061,
Acronis,MooIT,,ACT-00137430,27704,
Acronis,USWired Inc.,,ACT-00071726,21132,
Acronis,"Xpertechs, LLC",,ACT-00158933,25541,
Acronis,Commercial Networks LTD,,ACT-00107189,500001162,
Acronis,Carter Computer Consulting,,ACT-00099032,-,
Acronis,Law Office of David M. Sperling,,ACT-00069498,,
Acronis,Armagh Cash Register Ltd,,ACT-00128573,24859,
Acronis,Zenxeon Technologies,,ACT-00260421,29193,
Acronis,CMIT South Brevard 179,CMIT Headquarters,ACT-00245679,592,
Acronis,Flex IT Solutions,,ACT-00202184,20742,
Acronis,Buddy Rents,,ACT-00186523,24120,
Acronis,"HRI Properties, LLC",,ACT-00121826,,
Acronis,Myriad Technologies Services Pty Ltd,,ACT-00093598,22996,
Acronis,Tailored Technology Services,,ACT-00179208,26513,
Acronis,Ulu HI-Tech,,ACT-00274371,24402,
Acronis,Fort Valley Utility Commission,,ACT-00250614,,
Acronis,Glory Global Solutions NZ,,ACT-00081481,,
Acronis,"International Micro Systems, Inc.",,ACT-00037816,-,
Acronis,Infinity Group / France,,ACT-00064853,27054,
Acronis,BrainWave Computers,,ACT-00270754,,
Acronis,Copy Systems Inc,,ACT-00180388,11044,
Acronis,Enhanced Computing Solutions,,ACT-00215787,28661,
Acronis,SatCom & Computers,,ACT-00060044,21371,
Acronis,MRL Network Solutions,,ACT-00050957,28443,
Acronis,Platform 24,,ACT-00030476,300000464,
Acronis,Blackleaf Solutions LLC,,ACT-00025627,26383,
Acronis,Carter Computer Consulting,,ACT-00099032,,
Acronis,Pure Technology /1,,ACT-00151751,24338,
Acronis,SecureTech,,ACT-00287953,26153,
Acronis,"Regent ISO, LLC",,ACT-00114657,26063,
Acronis,Bel USA LLC,,ACT-00154470,-,
Acronis,Achronix Semiconductor Corp,,ACT-00150615,,
Acronis,Skynet Broadband Pty Ltd,,ACT-00124965,27058,
Acronis,Infinity Group,,ACT-00064853,27054,
Acronis,MobileTech Ltd,,ACT-00270934,26948,
Acronis,Kismet Solutions Inc.,,ACT-00226220,27537,
Acronis,Virtual Communication Specialists 1,,ACT-00246010,29175,
Acronis,ARGO-TECH Solutions Inc.,,ACT-00246643,20671,
Acronis,"Superior Steel, Inc",,ACT-00288311,27664,
Acronis,Glory Global Solutions NZ,,ACT-00081481,-,
Acronis,"Green Qube, Inc",,ACT-00138376,26897,
Acronis,Libra ICT,,ACT-00237872,21507,
Acronis,Blackleaf Solutions LLC,,ACT-00025627,,
Acronis,Client Solutions & Systems,,ACT-00125001,-,
