BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-05-01,Acronis,BEAR BYTE GmbH,SPGAMSENS,EU8_Master,58.0,1.704,98.832,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SQ8AMSENS,EU8_Master,5.0,1.1502,5.7509999999999994,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SRJAMSENS,EU8_Master,91.0,1.1502,104.66819999999998,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SVEAMSENS,EU8_Master,519.14,0.0272,14.120607999999999,USD
2026-05-01,Acronis,BIZITSS,SO4AMSENS,US2_DEV,13.0,1.3348,17.3524,USD
2026-05-01,Acronis,BIZITSS,SPDAMSENS,US2_DEV,31899.36,0.0148,472.11052800000004,USD
2026-05-01,Acronis,BIZITSS,SPEAMSENS,US2_DEV,11.0,10.3731,114.10410000000002,USD
2026-05-01,Acronis,BIZITSS,SPFAMSENS,US2_DEV,21.0,3.6565,76.7865,USD
2026-05-01,Acronis,BIZITSS,SPGAMSENS,US2_DEV,9.0,1.704,15.336,USD
2026-05-01,Acronis,BIZITSS,SPIAMSENS,US2_DEV,25.0,0.6319,15.797500000000001,USD
2026-05-01,Acronis,BIZITSS,SRIAMSENS,US2_DEV,5.0,0.1725,0.8624999999999999,USD
2026-05-01,Acronis,BIZITSS,SRJAMSENS,US2_DEV,15.0,1.1502,17.253,USD
2026-05-01,Acronis,"Backroom IT, LLC",SP1AMSENS,US2_GIG,164.77,0.05445,8.9717265,USD
2026-05-01,Acronis,"Backroom IT, LLC",SPBAMSENS,US2_GIG,415.03,0.0545,22.619135,USD
2026-05-01,Acronis,Balliante Ltd,SPBAMSENS,UK_GIG,37.6,0.0545,2.0492,USD
2026-05-01,Acronis,Balliante Ltd,SPDAMSENS,UK_GIG,14114.32,0.0148,208.89193600000002,USD
2026-05-01,Acronis,Balliante Ltd,SPDCMSENS,UK_GIG,265.0,,0.0,USD
2026-05-01,Acronis,Balliante Ltd,SPEAMSENS,UK_GIG,7.0,10.3731,72.61170000000001,USD
2026-05-01,Acronis,Balliante Ltd,SPFAMSENS,UK_GIG,11.0,3.6565,40.2215,USD
2026-05-01,Acronis,Balliante Ltd,SPGAMSENS,UK_GIG,1.0,1.704,1.704,USD
2026-05-01,Acronis,Balliante Ltd,SPIAMSENS,UK_GIG,4.0,0.6319,2.5276,USD
2026-05-01,Acronis,Balliante Ltd,SRHAMSENS,UK_GIG,1.0,0.7313,0.7313,USD
2026-05-01,Acronis,Balliante Ltd,SRIAMSENS,UK_GIG,1.0,0.1725,0.1725,USD
2026-05-01,Acronis,Balliante Ltd,SRJAMSENS,UK_GIG,347.0,1.1502,399.1194,USD
2026-05-01,Acronis,Baltnetos Komunikacijos,SPDAMSENS,US_Master,9.43,0.0148,0.139564,USD
2026-05-01,Acronis,Baltnetos Komunikacijos,SPIAMSENS,US_Master,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,Beartech Inc,SPIAMSENS,US_Master,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,Bel USA LLC,SP4BMSENS,SG1_GIG,1749.95,0.0264,46.19868,USD
2026-05-01,Acronis,Bel USA LLC,SPBAMSENS,SG1_GIG,10770.46,0.0545,586.99007,USD
2026-05-01,Acronis,Bel USA LLC,SPDAMSENS,US_Master,114389.78,0.0148,1692.968744,USD
2026-05-01,Acronis,Bel USA LLC,SPEAMSENS,US_Master,2.0,10.3731,20.7462,USD
2026-05-01,Acronis,Bel USA LLC,SPFAMSENS,US_Master,20.0,3.6565,73.13,USD
2026-05-01,Acronis,Bel USA LLC,SPGAMSENS,US_Master,35.0,1.704,59.64,USD
2026-05-01,Acronis,Bel USA LLC,SRHAMSENS,US_Master,12.0,0.7313,8.775599999999999,USD
2026-05-01,Acronis,Bel USA LLC,SRIAMSENS,SG1_GIG,19.0,0.1725,3.2775,USD
2026-05-01,Acronis,Bel USA LLC,SRIAMSENS,US_Master,11.0,0.1725,1.8975,USD
2026-05-01,Acronis,Bel USA LLC,SRJAMSENS,US_Master,490.0,1.1502,563.598,USD
2026-05-01,Acronis,Bellwether Technology Corporation,SPDAMSENS,US_Master,23871.43,0.0148,353.29716400000007,USD
2026-05-01,Acronis,Bellwether Technology Corporation,SPFAMSENS,US_Master,1.0,3.6565,3.6565,USD
2026-05-01,Acronis,Bellwether Technology Corporation,SPIAMSENS,US_Master,19.0,0.6319,12.0061,USD
