VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Patch Management",14,27957.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Encryption,Bitdefender Cloud Security Gravity Zone (Usage)",13,19154.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 100 to 249 ep",13,4423.0
Bitdefender,"Bitdefender Cloud Encryption,Bitdefender Cloud Security Gravity Zone",12,11974.0
Bitdefender,"Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Security Gravity Zone",12,1332.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Security for Mobile",12,28294.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 1000-2499 ep",12,20471.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 1 to 99 ep",12,437.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage)",12,3639.0
Bitdefender,Bitdefender Cloud Sec GravityZone 750 to 999 ep,11,9251.0
Bitdefender,"Bitdefender Cloud Encryption 100-249,Bitdefender Cloud Security Gravity Zone",11,8151.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Security for Mobile",11,4379.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Cloud Encryption,Bitdefender Cloud Security Gravity Zone (Usage)",10,5563.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Patch Management",9,28369.0
Bitdefender,Bitdefender 1YR Cloud Security Gravity Zone,8,936.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Security Gravity Zone",8,6360.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone,Bitdefender GravityZone Email Security, 100-499",8,7109.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 500-999 ep,Bitdefender Cloud Sec GravityZone 1000-2499 ep",8,12638.0
Bitdefender,"Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 1 to 99 ep,Bitdefender Patch Management, 1 - 99 ep",8,92.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Patch Management, 1 - 99 ep",8,1040.0
Bitdefender,"Bitdefender ATS & EDR, 500-999 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Security Gravity Zone",8,23072.0
Bitdefender,"Bitdefender ATS & EDR, 1000-4999 ep,Bitdefender ATS & EDR, 5000+ ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Security Gravity Zone",8,72460.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Encryption,Bitdefender Cloud Security Gravity Zone",8,3962.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone,CW Bitdefender EDR (MSP Secure)",8,2191.0
Bitdefender,"Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Sec GravityZone 100 to 249 ep",8,2987.0
Bitdefender,"Bitdefender Cloud Encryption 1000+,Bitdefender Cloud Security Gravity Zone",8,22840.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Sec GravityZone 250 to 499 ep",8,5997.0
Bitdefender,CW Bitdefender EDR (MSP Secure),8,44704.0
Bitdefender,"Bitdefender ATS & EDR, 500-999 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 2500 to 4999 ep",8,35087.0
Bitdefender,"Bitdefender GravityZone Email Security, 500-999",8,6000.0
Bitdefender,"Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Patch Management, 1 - 99 ep",8,3608.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Security for Mobile",8,71.0
Bitdefender,Bitdefender Security TSP CW Automate,8,272.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Advanced Threat Security 500-999 ep,Bitdefender Cloud Security Gravity Zone",8,21752.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Sec GravityZone 100 to 249 ep",7,3160.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Security for Mobile",7,21759.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Sec GravityZone 1000-2499 ep",7,7807.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Secure Plus",7,18275.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Patch Management",7,5294.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Encryption,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Sec GravityZone 1 to 99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Security for Mobile",7,70345.0
Bitdefender,"Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender PHASR",6,1189.0
Bitdefender,"Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 250 to 499 ep",6,1864.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage)",6,18782.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Encryption 250-499,Bitdefender Cloud Sec GravityZone 500 to 749 ep",6,9532.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Security for Mobile",6,1157.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender XDR - Identity",6,4940.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Encryption,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",6,24229.0
Bitdefender,"SwO Bitdefender ATS & EDR,SwO Bitdefender Advanced Threat Security,SwO Bitdefender Cloud Security Gravity Zone",6,4507.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Sec GravityZone 100 to 249 ep",6,1979.0
Bitdefender,"Bitdefender Cloud Encryption 100-249,Bitdefender Cloud Encryption 500-749,Bitdefender Cloud Security Gravity Zone",5,7609.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 250 to 499 ep,Bitdefender Patch Management, 100 - 499 ep",5,4986.0
