VENDOR,CW_SKU,SKU_MATCH_KEY,CONTRACT_COST_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE
Acronis,ACB-CAD-M00-TASVEAMSEN,SVEAMSENS,0.0272,0.032,0.08
Acronis,ACB-UKD-M00-TASVEAMSEN,SVEAMSENS,0.0272,0.032,0.08
Acronis,ACB-USD-M00-TASVEAMSEN,SVEAMSENS,0.0272,0.032,0.08
Acronis,APP-BC-SVEAMSENS,SVEAMSENS,0.0272,0.032,0.08
Acronis,BB-ACRONIS-ADV-PROTECTION-BUNDLE,SVEAMSENS,0.0272,1.45,2.47
Acronis,LEGACYSKUTASPBAMSEN,SVEAMSENS,0.0272,0.032,0.08
Acronis,MP-SVEAMSENS,SVEAMSENS,0.0272,0.032,0.08
Acronis,SVEAMSENS,SVEAMSENS,0.0272,0.032,0.08
Acronis,SVEAMSENS / 3PARTYONPREMHOSTEDDR,SVEAMSENS,0.0272,0.032,0.08
Acronis,TASVEAMSEN,SVEAMSENS,0.0272,0.032,0.08
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,,AUVIK_CMS_ASM,,,
Auvik,CMS-3P-UMM-RMM-SAAS-10070101,AUVIK_CMS_ESSENTIALS,,0.0,27.6
Auvik,CMS-3P-UMM-RMM-SAAS-10070203,AUVIK_CMS_ESSENTIALS,,0.0,25.3
Auvik,CMS-3P-UMM-RMM-SAAS-10072002,AUVIK_CMS_ESSENTIALS,,0.0,22.0
Auvik,CMS-UMM-SAAS-RMM-UMM-SRMMANM,AUVIK_CMS_ESSENTIALS,,0.0,1.5525
Auvik,CULCSAAS100706P00010,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100707P00040,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100708P00075,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100708P00100,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100709P00175,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100710P00250,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100711P00500,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100712P00750,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100713P10000,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100714P01500,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAAS100727P00150,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAS10071601M0010,AUVIK_CMS_ESSENTIALS,,0.0,159.0
Auvik,CULCSAS10071701M0040,AUVIK_CMS_ESSENTIALS,,0.0,530.0
Auvik,CULCSAS10071801M0075,AUVIK_CMS_ESSENTIALS,,0.0,935.0
Auvik,CULCSAS10071801M0100,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,CULCSAS10071901M0150,AUVIK_CMS_ESSENTIALS,,0.0,1431.0
Auvik,CULCSAS10071901M0175,AUVIK_CMS_ESSENTIALS,,0.0,1670.0
Auvik,CULCSAS10072101M0750,AUVIK_CMS_ESSENTIALS,,0.0,5168.0
Auvik,CULCSAS10072201M1000,AUVIK_CMS_ESSENTIALS,,0.0,6360.0
Auvik,CULCSAS10072301M1500,AUVIK_CMS_ESSENTIALS,,0.0,8745.0
Auvik,CULCSAS10072501M0250,AUVIK_CMS_ESSENTIALS,,0.0,2120.0
Auvik,CULCSAS10072601M0500,AUVIK_CMS_ESSENTIALS,,0.0,3710.0
Auvik,M2MLICSAAS1007010001,AUVIK_CMS_ESSENTIALS,,0.0,1060.0
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,,AUVIK_CMS_ESSENTIALS,,,
Auvik,CMS-3P-UMM-RMM-SAAS-10070202,AUVIK_CMS_PERFORMANCE,,0.0,11.2
Auvik,CMS-3P-UMM-RMM-SAAS-10072003,AUVIK_CMS_PERFORMANCE,,0.0,10.35
